Product_Description,Product_Link
Women's  Blue Mid Rise Skinny Jeans,https://www.levi.in/women/clothing/jeans/womens-711-blue-mid-rise-skinny-jeans/213060577.html
 Women's  Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-jeans/213060565.html
 Women's  Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-jeans/213060553.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-710-super-skinny-jeans/213250311.html
Women's  Blue Mid Rise Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/womens-710-blue-mid-rise-super-skinny-jeans/213250318.html
Women's  Blue Skinny Jeans,https://www.levi.in/women/clothing/jeans/womens-711-blue-skinny-jeans/213060602.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-710-super-skinny-jeans/213250301.html
 Women's  Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-jeans/213060508.html
Women's  Blue Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/womens-710-blue-super-skinny-jeans/213250330.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-710-super-skinny-jeans/213250285.html
Women's  Blue Mid Rise Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/womens-710-blue-mid-rise-super-skinny-jeans/213250317.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-710-super-skinny-jeans/213250298.html
 Women's  Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-jeans/213060507.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-710-super-skinny-jeans/213250313.html
 Women's  Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-jeans/213060557.html
Levi’s Women's High-Waisted Tapered Jeans,https://www.levi.in/women/clothing/jeans/levi%E2%80%99s-womens-high-waisted-tapered-jeans/A39510003.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/shop-jeans-by-fit/super-skinny/levis-womens-710-super-skinny-jeans/213250235.html
 Women's Highrise Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-highrise-jeans/526410129.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-710-super-skinny-jeans/213250291.html
 Women's  Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-jeans/213060581.html
Levi’s Women's High Loose Jeans,https://www.levi.in/women/clothing/jeans/levi%E2%80%99s-womens-high-loose-jeans/A39540000.html
 Women's  Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-jeans/213060537.html
 Women's  Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-jeans/213060564.html
 Women's  Skinny Fit Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-fit-jeans/213060533.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-710-super-skinny-jeans/213250305.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-710-super-skinny-jeans/213250309.html
 Women's  Skinny Fit Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-fit-jeans/213060523.html
 Women's  Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-jeans/213060573.html
Women's  Blue Mid Rise Skinny Jeans,https://www.levi.in/women/clothing/jeans/womens-711-blue-mid-rise-skinny-jeans/213060576.html
 Women's  Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-jeans/213060575.html
 Women's  Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-jeans/213060574.html
 Women's  Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-jeans/213060567.html
Levi’s Women's  Shaping Skinny Jeans,https://www.levi.in/women/clothing/jeans/levi%E2%80%99s-womens-311-shaping-skinny-jeans/219440129.html
Women's  Blue High Rise Bootcut Jeans,https://www.levi.in/women/clothing/jeans/womens-725-blue-high-rise-bootcut-jeans/225950012.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/shop-jeans-by-fit/super-skinny/levis-womens-710-super-skinny-jeans/213250259.html
